Name	category
ZNF697	Active
LOC105378937	Active
PHGDH	Active
NOTCH2	Active
LOC101929178	Active
SEC22B	Active
LOC107985524	Active
RNVU1-19	Active
RNVU1-4	Active
SRGAP2C	Active
LOC105373467	Active
RNVU1-15	Active
RNVU1-11	Active
LOC105379574	Active
FAM72D	Active
RNVU1-14	Active
GPR89A	Active
RNF115	Active
POLR3C	Active
NUDT17	Active
PIAS3	Active
PEX11B	Active
RBM8A	Active
LIX1L-AS1	Active
TXNIP	Active
RNVU1-6	Active
LINC01719	Active
LOC100996756	Active
NBPF12	Active
PRKAB2	Active
CHD1L	Active
FMO5	Active
BCL9	Active
ACP6	Active
LOC105371229	Active
GPR89B	Active
RNVU1-7	Active
NBPF11	Active
LOC105371227	Active
LOC101927468	Active
LOC105371225	Active
MIR5087	Active
MIR6077	Active
RNVU1-3	Active
HIST2H2BF	Active
HIST2H3D	Active
HIST2H2BE	Active
HIST2H2AC	Active
HIST2H2AB	Active
SV2A	Active
SF3B4	Active
MTMR11	Active
OTUD7B	Active
LOC105371427	Active
VPS45	Active
PLEKHO1	Active
ANP32E	Active
CA14	Active
APH1A	Active
C1orf54	Active
CIART	Active
LOC105371434	Active
MRPS21	Active
PRPF3	Active
RPRD2	Active
TARS2	Active
FALEC	Active
MCL1	Active
LOC107985203	Active
ENSA	Active
LOC112268239	Active
GOLPH3L	Active
ARNT	Active
LOC107985204	Active
SETDB1	Active
CERS2	Active
MINDY1	Active
PRUNE1	Active
C1orf56	Active
CDC42SE1	Active
MLLT11	Active
GABPB2	Active
LYSMD1	Active
SCNM1	Active
PSMD4	Active
LOC100507670	Active
ZNF687	Active
PI4KB	Active
RFX5	Active
GBAT2	Active
PSMB4	Active
POGZ	Active
CGN	Active
TUFT1	Active
SNX27	Active
MRPL9	Active
OAZ3	Active
TDRKH	Active
TDRKH-AS1	Active
THEM4	Active
S100A10	Active
S100A11	Active
S100A13	Active
S100A1	Active
CHTOP	Active
SNAPIN	Active
ILF2	Active
INTS3	Active
GATAD2B	Active
LOC101928059	Active
DENND4B	Active
CRTC2	Active
SLC39A1	Active
MIR6737	Active
CREB3L4	Active
JTB	Active
RAB13	Active
RPS27	Active
C1orf43	Active
UBAP2L	Active
HAX1	Active
ATP8B2	Active
UBE2Q1	Active
PBXIP1	Active
PYGO2	Active
LOC101928120	Active
SHC1	Active
CKS1B	Active
MIR4258	Active
FLAD1	Active
ZBTB7B	Active
SLC50A1	Active
DPM3	Active
KRTCAP2	Active
TRIM46	Active
MUC1	Active
MIR92B	Active
THBS3	Active
LOC105371450	Active
MTX1	Active
GBA	Active
FAM189B	Active
SCAMP3	Active
CLK2	Active
HCN3	Active
FDPS	Active
RUSC1-AS1	Active
RUSC1	Active
ASH1L	Active
MSTO1	Active
YY1AP1	Active
LOC100505728	Active
RIT1	Active
KHDC4	Active
LOC107985207	Active
LOC107985209	Active
SSR2	Active
LOC105371729	Active
UBQLN4	Active
LAMTOR2	Active
RAB25	Active
MEX3A	Active
LMNA	Active
SLC25A44	Active
PMF1-BGLAP	Active
PMF1	Active
TMEM79	Active
CCT3	Active
C1orf61	Active
MEF2D	Active
IQGAP3	Active
NAXE	Active
GPATCH4	Active
HAPLN2	Active
NES	Active
CRABP2	Active
ISG20L2	Active
RRNAD1	Active
MRPL24	Active
HDGF	Active
PRCC	Active
ETV3	Active
LOC105371459	Active
KIRREL1	Active
IFI16	Active
PYDC5	Active
LOC101928264	Active
DUSP23	Active
TAGLN2	Active
IGSF9	Active
PIGM	Active
IGSF8	Active
PEA15	Active
DCAF8	Active
LOC100287049	Active
PEX19	Active
LOC107985219	Active
COPA	Active
NCSTN	Active
VANGL2	Active
F11R	Active
TSTD1	Active
USF1	Active
KLHDC9	Active
PFDN2	Active
NIT1	Active
DEDD	Active
UFC1	Active
USP21	Active
PPOX	Active
ADAMTS4	Active
TOMM40L	Active
MIR5187	Active
SDHC	Active
DUSP12	Active
LOC102724329	Active
ATF6	Active
LOC105371497	Active
UHMK1	Active
LOC102724358	Active
UAP1	Active
HSD17B7	Active
RGS5	Active
NUF2	Active
PBX1	Active
MGST3	Active
ALDH9A1	Active
TMCO1	Active
LOC100147773	Active
UCK2	Active
POGK	Active
TADA1	Active
POU2F1	Active
CREG1	Active
MPZL1	Active
MPC2	Active
DCAF6	Active
TIPRL	Active
SFT2D2	Active
ATP1B1	Active
NME7	Active
BLZF1	Active
SLC19A2	Active
METTL18	Active
C1orf112	Active
SCYL3	Active
LOC101928650	Active
GORAB	Active
PRRC2C	Active
VAMP4	Active
METTL13	Active
PIGC	Active
SUCO	Active
LOC100506023	Active
PRDX6	Active
LOC105371619	Active
KLHL20	Active
CENPL	Active
DARS2	Active
GAS5	Active
SNORD75	Active
SNORD74	Active
ZBTB37	Active
LOC105371620	Active
LOC102724601	Active
RABGAP1L	Active
LOC105371622	Active
CACYBP	Active
MRPS14	Active
RASAL2-AS1	Active
RASAL2	Active
C1orf220	Active
RALGPS2	Active
FAM20B	Active
TOR3A	Active
ABL2	Active
AXDND1	Active
TOR1AIP2	Active
TOR1AIP1	Active
LOC101928933	Active
CEP350	Active
LOC105371636	Active
QSOX1	Active
ACBD6	Active
XPR1	Active
STX6	Active
GLUL	Active
LOC647070	Active
DHX9	Active
LAMC1	Active
LAMC2	Active
SMG7-AS1	Active
SMG7	Active
COLGALT2	Active
TSEN15	Active
EDEM3	Active
LOC105371649	Active
RNF2	Active
TRMT1L	Active
SWT1	Active
IVNS1ABP	Active
HMCN1	Active
TPR	Active
ODR4	Active
RGS2	Active
UCHL5	Active
TROVE2	Active
CDC73	Active
KCNT2	Active
ASPM	Active
ZBTB41	Active
CRB1	Active
NEK7	Active
ZNF281	Active
KIF14	Active
DDX59	Active
LOC101929224	Active
CAMSAP2	Active
INAVA	Active
TMEM9	Active
LAD1	Active
LOC101929343	Active
NAV1	Active
IPO9-AS1	Active
IPO9	Active
TIMM17A	Active
RNPEP	Active
ARL8A	Active
UBE2T	Active
PPP1R12B	Active
PCAT6	Active
RABIF	Active
ADIPOR1	Active
CYB5R1	Active
TMEM183A	Active
ATP2B4	Active
ZC3H11A	Active
ZBED6	Active
SNRPE	Active
SOX13	Active
PPP1R15B	Active
PIK3C2B	Active
MDM4	Active
RBBP5	Active
DSTYK	Active
NUAK2	Active
LEMD1	Active
BLACAT1	Active
MIR135B	Active
LOC284577	Active
CDK18	Active
ELK4	Active
SLC45A3	Active
LOC105371701	Active
NUCKS1	Active
SLC41A1	Active
SRGAP2	Active
IKBKE	Active
EIF2D	Active
LOC105372876	Active
DYRK3	Active
MAPKAPK2	Active
YOD1	Active
PFKFB2	Active
CD55	Active
CD46	Active
MIR205HG	Active
C1orf74	Active
IRF6	Active
DIEXF	Active
SYT14	Active
LOC105372902	Active
RCOR3	Active
LOC107985258	Active
LINC00467	Active
SLC30A1	Active
NEK2	Active
LOC91548	Active
INTS7	Active
DTL	Active
LOC101929541	Active
PPP2R5A	Active
TMEM206	Active
TATDN3	Active
FLVCR1-AS1	Active
FLVCR1	Active
ANGEL2	Active
RPS6KC1	Active
SMYD2	Active
PTPN14	Active
CENPF	Active
LOC105372919	Active
KCTD3	Active
GPATCH2	Active
SPATA17	Active
RRP15	Active
LYPLAL1-AS1	Active
LYPLAL1	Active
EPRS	Active
BPNT1	Active
IARS2	Active
RAB3GAP2	Active
C1orf115	Active
MARC2	Active
MARC1	Active
DUSP10	Active
TAF1A	Active
